obsnme,obsval,weight,obgnme,cycle,org_obgnme
head_00_011_002,35.12521,0.0,obgnme,-1,
head_00_011_003,35.12396,0.0,obgnme,-1,
head_00_011_008,34.44866,0.0,obgnme,-1,
head_00_011_009,34.434459999999994,0.0,obgnme,-1,
head_00_011_010,34.407920000000004,0.0,obgnme,-1,
head_00_011_011,34.369170000000004,0.0,obgnme,-1,
head_00_011_012,34.31366,0.0,obgnme,-1,
head_00_011_013,34.22331,0.0,obgnme,-1,
head_00_011_014,34.23568,0.0,obgnme,-1,
head_00_011_015,34.16682,0.0,obgnme,-1,
head_00_011_016,34.23032,0.0,obgnme,-1,
head_00_011_017,34.24783,0.0,obgnme,-1,
head_00_011_018,34.26147,0.0,obgnme,-1,
head_00_011_019,34.26874,0.0,obgnme,-1,
head_00_012_000,35.11965,0.0,obgnme,-1,
head_00_012_001,35.11906,0.0,obgnme,-1,
head_00_012_002,35.11816,0.0,obgnme,-1,
head_00_012_003,35.11745,0.0,obgnme,-1,
head_00_012_008,34.415440000000004,0.0,obgnme,-1,
head_00_012_009,34.40358,0.0,obgnme,-1,
head_00_012_010,34.38103,0.0,obgnme,-1,
head_00_012_011,34.34859,0.0,obgnme,-1,
head_00_012_012,34.30672,0.0,obgnme,-1,
head_00_012_013,34.25925,0.0,obgnme,-1,
head_00_012_014,34.23686,0.0,obgnme,-1,
head_00_012_015,34.16166,0.0,obgnme,-1,
head_00_012_016,34.2279,0.0,obgnme,-1,
head_00_012_017,34.24273,0.0,obgnme,-1,
head_00_012_018,34.25358,0.0,obgnme,-1,
head_00_012_019,34.25936,0.0,obgnme,-1,
head_00_013_000,35.1042,0.0,obgnme,-1,
head_00_013_001,35.10376,0.0,obgnme,-1,
head_00_013_002,35.10313,0.0,obgnme,-1,
head_00_013_003,35.10266,0.0,obgnme,-1,
head_00_013_008,34.38877,0.0,obgnme,-1,
head_00_013_009,34.37872,0.0,obgnme,-1,
head_00_013_010,34.3597,1.0,obgnme,-1,trgw_0_13_10
head_00_013_011,34.33303,0.0,obgnme,-1,
head_00_013_012,34.30048,0.0,obgnme,-1,
head_00_013_013,34.26575,0.0,obgnme,-1,
head_00_013_014,34.236290000000004,0.0,obgnme,-1,
head_00_013_015,34.1561,0.0,obgnme,-1,
head_00_013_016,34.22248,0.0,obgnme,-1,
head_00_013_017,34.235859999999995,0.0,obgnme,-1,
head_00_013_018,34.24525,0.0,obgnme,-1,
head_00_013_019,34.25019,0.0,obgnme,-1,
head_00_014_000,35.08166,0.0,obgnme,-1,
head_00_014_001,35.0813,0.0,obgnme,-1,
head_00_014_002,35.08078,0.0,obgnme,-1,
head_00_014_003,35.08041,0.0,obgnme,-1,
head_00_014_008,34.36675,0.0,obgnme,-1,
head_00_014_009,34.35803,0.0,obgnme,-1,
head_00_014_010,34.341570000000004,0.0,obgnme,-1,
head_00_014_011,34.31882,0.0,obgnme,-1,
head_00_014_012,34.29131,0.0,obgnme,-1,
head_00_014_013,34.26122,0.0,obgnme,-1,
head_00_014_014,34.23079,0.0,obgnme,-1,
head_00_014_015,34.148309999999995,0.0,obgnme,-1,
head_00_014_016,34.21458,0.0,obgnme,-1,
head_00_014_017,34.22719,0.0,obgnme,-1,
head_00_014_018,34.23587,0.0,obgnme,-1,
head_00_014_019,34.24037,0.0,obgnme,-1,
head_00_015_000,35.0524,0.0,obgnme,-1,
head_00_015_001,35.052040000000005,0.0,obgnme,-1,
head_00_015_002,35.051559999999995,0.0,obgnme,-1,
head_00_015_003,35.05121,0.0,obgnme,-1,
head_00_015_008,34.34795,0.0,obgnme,-1,
head_00_015_009,34.34005,0.0,obgnme,-1,
head_00_015_010,34.32518,0.0,obgnme,-1,
head_00_015_011,34.304520000000004,0.0,obgnme,-1,
head_00_015_012,34.27936,0.0,obgnme,-1,
head_00_015_013,34.25119,0.0,obgnme,-1,
head_00_015_014,34.22098,0.0,obgnme,-1,
head_00_015_015,34.13799,0.0,obgnme,-1,
head_00_015_016,34.20425,1.0,obgnme,-1,trgw_0_15_16
head_00_015_017,34.21668,0.0,obgnme,-1,
head_00_015_018,34.22515,0.0,obgnme,-1,
head_00_015_019,34.22952,0.0,obgnme,-1,
head_00_016_000,35.01676,0.0,obgnme,-1,
head_00_016_001,35.01635,0.0,obgnme,-1,
head_00_016_002,35.01579,0.0,obgnme,-1,
head_00_016_003,35.01538,0.0,obgnme,-1,
head_00_016_008,34.33147,0.0,obgnme,-1,
head_00_016_009,34.32391,0.0,obgnme,-1,
head_00_016_010,34.3096,0.0,obgnme,-1,
head_00_016_011,34.28961,0.0,obgnme,-1,
head_00_016_012,34.2651,0.0,obgnme,-1,
head_00_016_013,34.23737,0.0,obgnme,-1,
head_00_016_014,34.207359999999994,0.0,obgnme,-1,
head_00_016_015,34.12515,0.0,obgnme,-1,
head_00_016_016,34.19151,0.0,obgnme,-1,
head_00_016_017,34.20431,0.0,obgnme,-1,
head_00_016_018,34.21306,0.0,obgnme,-1,
head_00_016_019,34.21754,0.0,obgnme,-1,
head_00_017_000,34.97505,0.0,obgnme,-1,
head_00_017_001,34.97448,0.0,obgnme,-1,
head_00_017_002,34.97367,0.0,obgnme,-1,
head_00_017_003,34.97309,0.0,obgnme,-1,
head_00_017_008,34.31692,0.0,obgnme,-1,
head_00_017_009,34.30919,0.0,obgnme,-1,
head_00_017_010,34.29456,0.0,obgnme,-1,
head_00_017_011,34.27404,0.0,obgnme,-1,
head_00_017_012,34.24875,0.0,obgnme,-1,
head_00_017_013,34.2201,0.0,obgnme,-1,
head_00_017_014,34.18969,0.0,obgnme,-1,
head_00_017_015,34.10966,0.0,obgnme,-1,
head_00_017_016,34.17645,0.0,obgnme,-1,
head_00_017_017,34.19028,0.0,obgnme,-1,
head_00_017_018,34.19974000000001,0.0,obgnme,-1,
head_00_017_019,34.204570000000004,0.0,obgnme,-1,
head_00_018_000,34.927609999999994,0.0,obgnme,-1,
head_00_018_001,34.92667,0.0,obgnme,-1,
head_00_018_002,34.92528,0.0,obgnme,-1,
head_00_018_003,34.924240000000005,0.0,obgnme,-1,
head_00_018_008,34.30438,0.0,obgnme,-1,
head_00_018_009,34.29595,0.0,obgnme,-1,
head_00_018_010,34.28018,0.0,obgnme,-1,
head_00_018_011,34.25808,0.0,obgnme,-1,
head_00_018_012,34.23055,0.0,obgnme,-1,
head_00_018_013,34.19893,0.0,obgnme,-1,
head_00_018_014,34.16625,0.0,obgnme,-1,
head_00_018_015,34.09103,0.0,obgnme,-1,
head_00_018_016,34.15925,0.0,obgnme,-1,
head_00_018_017,34.17505,0.0,obgnme,-1,
head_00_018_018,34.18564,0.0,obgnme,-1,
head_00_018_019,34.19098,0.0,obgnme,-1,
head_00_019_000,34.87491,0.0,obgnme,-1,
head_00_019_001,34.87321,0.0,obgnme,-1,
head_00_019_002,34.87059,0.0,obgnme,-1,
head_00_019_003,34.86847,0.0,obgnme,-1,
head_00_019_008,34.29462,0.0,obgnme,-1,
head_00_019_009,34.28471,0.0,obgnme,-1,
head_00_019_010,34.26695,0.0,obgnme,-1,
head_00_019_011,34.24245,0.0,obgnme,-1,
head_00_019_012,34.21131,0.0,obgnme,-1,
head_00_019_013,34.173320000000004,0.0,obgnme,-1,
head_00_019_014,34.1314,0.0,obgnme,-1,
head_00_019_015,34.06868,0.0,obgnme,-1,
head_00_019_016,34.14077,0.0,obgnme,-1,
head_00_019_017,34.1595,0.0,obgnme,-1,
head_00_019_018,34.17145,0.0,obgnme,-1,
head_00_019_019,34.17733,0.0,obgnme,-1,
head_00_020_000,34.817840000000004,0.0,obgnme,-1,
head_00_020_001,34.81471,0.0,obgnme,-1,
head_00_020_002,34.80951,0.0,obgnme,-1,
head_00_020_003,34.80475,0.0,obgnme,-1,
head_00_020_008,34.289159999999995,0.0,obgnme,-1,
head_00_020_009,34.27602,0.0,obgnme,-1,
head_00_020_010,34.25541,0.0,obgnme,-1,
head_00_020_011,34.22849,0.0,obgnme,-1,
head_00_020_012,34.193940000000005,0.0,obgnme,-1,
head_00_020_013,34.14622,0.0,obgnme,-1,
head_00_020_014,34.06677,0.0,obgnme,-1,
head_00_020_015,34.04484,0.0,obgnme,-1,
head_00_020_016,34.12393,0.0,obgnme,-1,
head_00_020_017,34.14524,0.0,obgnme,-1,
head_00_020_018,34.15804,0.0,obgnme,-1,
head_00_020_019,34.1642,0.0,obgnme,-1,
head_00_021_000,34.75788,0.0,obgnme,-1,
head_00_021_001,34.75237,0.0,obgnme,-1,
head_00_021_002,34.74216,0.0,obgnme,-1,
head_00_021_003,34.730470000000004,0.0,obgnme,-1,
head_00_021_006,34.32731,0.0,obgnme,-1,
head_00_021_007,34.312909999999995,0.0,obgnme,-1,
head_00_021_008,34.291270000000004,0.0,obgnme,-1,
head_00_021_009,34.26965,0.0,obgnme,-1,
head_00_021_010,34.24521,1.0,obgnme,-1,trgw_0_21_10
head_00_021_011,34.21727,0.0,obgnme,-1,
head_00_021_012,34.18479,0.0,obgnme,-1,
head_00_021_013,34.146609999999995,0.0,obgnme,-1,
head_00_021_014,34.10514000000001,0.0,obgnme,-1,
head_00_021_015,34.0435,0.0,obgnme,-1,
head_00_021_016,34.1153,0.0,obgnme,-1,
head_00_021_017,34.13404,0.0,obgnme,-1,
head_00_021_018,34.145990000000005,0.0,obgnme,-1,
head_00_021_019,34.15185,0.0,obgnme,-1,
head_00_022_000,34.69728,0.0,obgnme,-1,
head_00_022_001,34.6887,0.0,obgnme,-1,
head_00_022_002,34.67049,0.0,obgnme,-1,
head_00_022_003,34.638690000000004,0.0,obgnme,-1,
head_00_022_004,34.57847,0.0,obgnme,-1,
head_00_022_006,34.33582,0.0,obgnme,-1,
head_00_022_007,34.31471,0.0,obgnme,-1,
head_00_022_008,34.28822,0.0,obgnme,-1,
head_00_022_009,34.2611,0.0,obgnme,-1,
head_00_022_010,34.23366,0.0,obgnme,-1,
head_00_022_011,34.20575,0.0,obgnme,-1,
head_00_022_012,34.17629,0.0,obgnme,-1,
head_00_022_013,34.144859999999994,0.0,obgnme,-1,
head_00_022_014,34.1134,0.0,obgnme,-1,
head_00_022_015,34.04056,1.0,obgnme,-1,trgw_0_22_15
head_00_022_016,34.108270000000005,0.0,obgnme,-1,
head_00_022_017,34.12415,0.0,obgnme,-1,
head_00_022_018,34.13473,0.0,obgnme,-1,
head_00_022_019,34.14005,0.0,obgnme,-1,
head_00_023_000,34.639109999999995,0.0,obgnme,-1,
head_00_023_001,34.6287,0.0,obgnme,-1,
head_00_023_002,34.60673,0.0,obgnme,-1,
head_00_023_003,34.57011,0.0,obgnme,-1,
head_00_023_004,34.51266,0.0,obgnme,-1,
head_00_023_005,34.42866,0.0,obgnme,-1,
head_00_023_006,34.35972,0.0,obgnme,-1,
head_00_023_007,34.31665,0.0,obgnme,-1,
head_00_023_008,34.28079,0.0,obgnme,-1,
head_00_023_009,34.24801,0.0,obgnme,-1,
head_00_023_010,34.21784,0.0,obgnme,-1,
head_00_023_011,34.19088,0.0,obgnme,-1,
head_00_023_012,34.16462,0.0,obgnme,-1,
head_00_023_013,34.1376,0.0,obgnme,-1,
head_00_023_014,34.10981,0.0,obgnme,-1,
head_00_023_015,34.033809999999995,0.0,obgnme,-1,
head_00_023_016,34.09997,0.0,obgnme,-1,
head_00_023_017,34.114000000000004,0.0,obgnme,-1,
head_00_023_018,34.123470000000005,0.0,obgnme,-1,
head_00_023_019,34.12829,0.0,obgnme,-1,
head_00_024_000,34.58528,0.0,obgnme,-1,
head_00_024_001,34.57434,0.0,obgnme,-1,
head_00_024_002,34.55192,0.0,obgnme,-1,
head_00_024_003,34.51692,0.0,obgnme,-1,
head_00_024_004,34.46836,1.0,obgnme,-1,trgw_0_24_4
head_00_024_005,34.409009999999995,0.0,obgnme,-1,
head_00_024_006,34.35303,0.0,obgnme,-1,
head_00_024_007,34.30656,0.0,obgnme,-1,
head_00_024_008,34.2655,0.0,obgnme,-1,
head_00_024_009,34.22757,0.0,obgnme,-1,
head_00_024_010,34.19395,0.0,obgnme,-1,
head_00_024_011,34.17024,0.0,obgnme,-1,
head_00_024_012,34.148540000000004,0.0,obgnme,-1,
head_00_024_013,34.12554,0.0,obgnme,-1,
head_00_024_014,34.10029,0.0,obgnme,-1,
head_00_024_015,34.02403,0.0,obgnme,-1,
head_00_024_016,34.08974,0.0,obgnme,-1,
head_00_024_017,34.10286,0.0,obgnme,-1,
head_00_024_018,34.11164,0.0,obgnme,-1,
head_00_024_019,34.11609,0.0,obgnme,-1,
head_00_025_000,34.53626,0.0,obgnme,-1,
head_00_025_001,34.52544,0.0,obgnme,-1,
head_00_025_002,34.503809999999994,0.0,obgnme,-1,
head_00_025_003,34.47146,0.0,obgnme,-1,
head_00_025_004,34.42935,0.0,obgnme,-1,
head_00_025_005,34.3807,0.0,obgnme,-1,
head_00_025_006,34.33183,0.0,obgnme,-1,
head_00_025_007,34.28623,0.0,obgnme,-1,
head_00_025_008,34.24241,0.0,obgnme,-1,
head_00_025_009,34.198190000000004,0.0,obgnme,-1,
head_00_025_010,34.1552,0.0,obgnme,-1,
head_00_025_011,34.14244,0.0,obgnme,-1,
head_00_025_012,34.12857,0.0,obgnme,-1,
head_00_025_013,34.11015,0.0,obgnme,-1,
head_00_025_014,34.08738,0.0,obgnme,-1,
head_00_025_015,34.01211,0.0,obgnme,-1,
head_00_025_016,34.077690000000004,0.0,obgnme,-1,
head_00_025_017,34.09045,0.0,obgnme,-1,
head_00_025_018,34.09887,0.0,obgnme,-1,
head_00_025_019,34.10313,0.0,obgnme,-1,
head_00_026_000,34.4919,0.0,obgnme,-1,
head_00_026_001,34.48128,0.0,obgnme,-1,
head_00_026_002,34.460359999999994,0.0,obgnme,-1,
head_00_026_003,34.42978,0.0,obgnme,-1,
head_00_026_004,34.39098,0.0,obgnme,-1,
head_00_026_005,34.34687,0.0,obgnme,-1,
head_00_026_006,34.3018,1.0,obgnme,-1,trgw_0_26_6
head_00_026_007,34.25904,0.0,obgnme,-1,
head_00_026_008,34.21516,0.0,obgnme,-1,
head_00_026_009,34.162859999999995,0.0,obgnme,-1,
head_00_026_010,34.08208,0.0,obgnme,-1,
head_00_026_011,34.11042,0.0,obgnme,-1,
head_00_026_012,34.10788,0.0,obgnme,-1,
head_00_026_013,34.09349,0.0,obgnme,-1,
head_00_026_014,34.07267,0.0,obgnme,-1,
head_00_026_015,33.99872,0.0,obgnme,-1,
head_00_026_016,34.06409,0.0,obgnme,-1,
head_00_026_017,34.07675,0.0,obgnme,-1,
head_00_026_018,34.08507,0.0,obgnme,-1,
head_00_026_019,34.08926,0.0,obgnme,-1,
head_00_027_000,34.4519,0.0,obgnme,-1,
head_00_027_001,34.44127,0.0,obgnme,-1,
head_00_027_002,34.42045,0.0,obgnme,-1,
head_00_027_003,34.39024000000001,0.0,obgnme,-1,
head_00_027_004,34.35191,0.0,obgnme,-1,
head_00_027_005,34.307970000000005,0.0,obgnme,-1,
head_00_027_006,34.26353,0.0,obgnme,-1,
head_00_027_007,34.22737,0.0,obgnme,-1,
head_00_027_008,34.19181,0.0,obgnme,-1,
head_00_027_009,34.15337,0.0,obgnme,-1,
head_00_027_010,34.11436,0.0,obgnme,-1,
head_00_027_011,34.104890000000005,0.0,obgnme,-1,
head_00_027_012,34.093779999999995,0.0,obgnme,-1,
head_00_027_013,34.0778,0.0,obgnme,-1,
head_00_027_014,34.05715,0.0,obgnme,-1,
head_00_027_015,33.984320000000004,0.0,obgnme,-1,
head_00_027_016,34.04922,0.0,obgnme,-1,
head_00_027_017,34.061890000000005,0.0,obgnme,-1,
head_00_027_018,34.07023,0.0,obgnme,-1,
head_00_027_019,34.07445,0.0,obgnme,-1,
head_00_028_000,34.416290000000004,0.0,obgnme,-1,
head_00_028_001,34.40521,0.0,obgnme,-1,
head_00_028_002,34.3838,0.0,obgnme,-1,
head_00_028_003,34.35273,0.0,obgnme,-1,
head_00_028_004,34.31243,0.0,obgnme,-1,
head_00_028_005,34.26353,0.0,obgnme,-1,
head_00_028_006,34.21092,0.0,obgnme,-1,
head_00_028_007,34.18973,0.0,obgnme,-1,
head_00_028_008,34.16687,0.0,obgnme,-1,
head_00_028_009,34.14012,0.0,obgnme,-1,
head_00_028_010,34.11378,0.0,obgnme,-1,
head_00_028_011,34.0958,0.0,obgnme,-1,
head_00_028_012,34.07934,0.0,obgnme,-1,
head_00_028_013,34.06135,0.0,obgnme,-1,
head_00_028_014,34.04045,0.0,obgnme,-1,
head_00_028_015,33.96888,0.0,obgnme,-1,
