parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,cycle
npf_k33_0_003_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_004_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_005_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_006_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_007_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_008_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_009_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_010_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_011_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_012_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_013_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
